Item,Familia,Year,Production_t,Production_t,AreaHarvested_ha,Yield_hg_ha,Production_lag1,Production_lag2,Production_lag3,Production_ma3,Production_ma5,Production_yoy_growth_pct,Production_trend_slope5,Production_vol_std5,Production_vol_cv5
Hop cones,Estimulantes y especias,2024,158405.29,158405.29,95805.0,1653.4,164478.82,147757.22,177507.54,163247.86000000002,167488.636,-3.692590936632445,-4526.053999999998,12042.196373065784,0.0718985876335262
"Cashew nuts, in shell",Oleaginosas y frutos secos,2024,4241103.77,4241103.77,6940174.0,611.1,4319280.71,4020956.52,3948894.69,4096377.306666666,3897075.11,-1.8099527502115187,197015.10899999968,315073.4027068097,0.0808486862104153
"Other beans, green",Hortalizas,2024,25931333.18,25931333.18,1645170.0,15762.1,25859721.92,25783503.72,25662299.07,25768508.23666667,25636861.712,0.2769220033437936,130162.17899999792,210424.6248035913,0.0082078932736566
Sorghum,Cereales,2024,64264990.5,64264990.5,44258346.0,1452.0,57288007.08,57207629.37,61424281.99,58639972.81333333,58413887.52,12.178785361230982,-131145.9320000082,1908221.17789804,0.0326672518969858
Mustard seed,Oleaginosas y frutos secos,2024,862023.6,862023.6,876991.0,982.9,923960.52,852225.92,687146.01,821110.8166666668,760989.224,-6.703416288825848,70218.77899999992,119394.91746115524,0.1568943602559544
"Pyrethrum, dried flowers",Estimulantes y especias,2024,7295.02,7295.02,18353.0,397.5,9280.64,5691.5,6063.91,7012.016666666666,6733.418,-21.3952917040204,468.84499999999866,1511.1858771077384,0.2244307240554111
"Cinnamon and cinnamon-tree flowers, raw",Estimulantes y especias,2024,244815.39,244815.39,374052.0,654.5,240516.33,236960.43,242122.09,239866.28333333333,230809.58,1.7874295687116293,6041.636999999972,13217.682420465942,0.0572666109459838
Quinoa,Cereales,2024,165892.7,165892.7,182584.0,908.6,114529.07,159832.0,157864.17,144075.08,153732.114,44.84767928352164,-10859.861000000006,22986.280382291778,0.1495216567586638
Apricots,Frutas,2024,4598078.78,4598078.78,655313.0,7016.6,3990426.67,3964884.21,3687225.09,3880845.3233333337,3900183.774,15.227747813744452,-1503.7230000001175,172743.30394133265,0.0442910677934974
Pomelos and grapefruits,Frutas,2024,9866779.72,9866779.72,395158.0,24969.2,9960506.04,9732727.2,9700090.27,9797774.503333332,9685334.566,-0.9409795006760312,112416.79399999924,184331.2788236927,0.0190319991082993
Rice,Cereales,2024,820223277.89,820223277.89,172414425.0,4757.3,804744456.37,778637858.25,791062868.84,791481727.82,780227627.404,1.9234455605722456,10634564.66399992,18890145.93588502,0.0242110702984678
Cherries,Frutas,2024,3105401.25,3105401.25,473732.0,6555.2,3009952.07,2794173.34,2750410.48,2851511.963333333,2762536.582,3.1711195985921536,91889.64699999963,156615.66984800177,0.056692704403797
Potatoes,Raices y tuberculos,2024,390428972.92,390428972.92,17075832.0,22864.4,386749497.79,375911086.45,376201273.29,379620619.1766667,375787954.002,0.9513845915833264,4061267.258999953,6890670.010383583,0.0183365909870195
Poppy seed,Oleaginosas y frutos secos,2024,10592.01,10592.01,18231.0,581.0,10461.93,14938.84,23736.44,16379.06999999999,20467.08,1.2433652299336684,-4731.267999999998,7735.946070265196,0.3779701877485795
"Coconuts, in shell",Oleaginosas y frutos secos,2024,65543721.0,65543721.0,11208376.0,5847.7,64974429.8,63715316.36,64152854.14,64280866.76666667,63677494.74600001,0.8761772927478706,425448.9779999924,1218017.6974169065,0.0191279148508495
Millet,Cereales,2024,30852616.28,30852616.28,30664916.0,1006.1,30623797.35,31158751.18,28377307.64,30053285.39,30774879.244,0.7471931954905031,-217694.0900000028,1598126.1850487047,0.0519295680213036
Triticale,Cereales,2024,12403875.27,12403875.27,3273825.0,3788.8,13476805.82,14080375.84,14182573.94,13913251.866666667,14233033.408000002,-7.961311933483072,-244746.462,692878.0036339897,0.0486809792243262
"Cloves (whole stems), raw",Estimulantes y especias,2024,198941.01,198941.01,704178.0,282.5,184040.05,186581.58,184963.88,185195.17,187769.046,8.09658549864556,-1603.7120000000114,4693.652268189694,0.0249969436825582
"Broad beans and horse beans, dry",Legumbres,2024,6258986.39,6258986.39,2775558.0,2255.0,6307967.56,6177489.38,6209264.06,6231573.666666667,5951414.592,-0.7764968594733856,238074.55899999896,407228.4071138724,0.0684254811723713
"Onions and shallots, green",Hortalizas,2024,5576778.38,5576778.38,250443.0,22267.7,5332556.54,5021117.32,5266228.85,5206634.236666666,5137869.142,4.579826546011634,70287.9579999995,172105.45326106972,0.0334974380437557
Karite nuts (sheanuts),Oleaginosas y frutos secos,2024,830410.47,830410.47,681914.0,1217.8,878209.11,862954.9,829750.48,856971.4966666666,857426.148,-5.442740169251947,1448.7169999999835,27827.105156820493,0.0324542296986497
Pears,Frutas,2024,27638954.63,27638954.63,1359356.0,20332.4,26530374.02,26347744.4,25647258.31,26175125.576666664,25558388.970000003,4.178533665466966,586369.4659999985,940677.9649296908,0.0368050570806259
Peaches and nectarines,Frutas,2024,27891645.96,27891645.96,1563824.0,17835.5,27177691.91,26531831.91,25230755.88,26313426.566666663,25636157.064,2.6269855893733984,684959.4079999964,1169358.5137743473,0.0456136429050217
Green garlic,Hortalizas,2024,29690764.0,29690764.0,1675941.0,17715.9,29738921.26,29740395.36,29499171.99,29659496.203333333,29301117.944,-0.1619334460015387,306353.4229999976,509603.5022058307,0.0173919474055488
Sugar beet,Cultivos azucareros,2024,293624598.05,293624598.05,4654093.0,63089.5,283107258.98,260004005.25,269005730.42,270705664.8833333,268659407.83000004,3.7149662314886154,1430772.4289999646,13794039.772448163,0.0513439670096222
Oranges,Frutas,2024,67244550.08,67244550.08,3380998.0,19889.0,69254941.47,68061740.03,68173905.02,68496862.17333333,68534578.066,-2.902885118848686,99192.92499999226,488383.2788277369,0.0071260857308761
"Vanilla, raw",Estimulantes y especias,2024,7114.54,7114.54,93227.0,76.3,7193.55,7110.23,7675.17,7326.316666666668,7222.616,-1.098345045214122,37.45099999999962,264.08240982695776,0.0365632632036588
Cauliflowers and broccoli,Hortalizas,2024,26860065.69,26860065.69,1426499.0,18829.4,26568340.23,26547287.15,26309337.63,26474988.33666667,26303370.214,1.0980191365909775,149990.26499999734,258143.95817724345,0.009814101998224
"Coffee, green",Estimulantes y especias,2024,11284877.41,11284877.41,12477571.0,904.4,11092848.71,10987768.86,10571717.9,10884111.823333332,10890493.824,1.731103569697923,81193.8299999988,308872.7183947449,0.0283616816084193
Olives,Oleaginosas y frutos secos,2024,25551898.88,25551898.88,11066175.0,2309.0,19767829.18,21556646.4,23628117.77,21650864.45,22094587.342,29.26001457889975,-604755.9790000026,1698754.8143987386,0.0768855642381491
Apples,Frutas,2024,97880076.32,97880076.32,4685316.0,20890.8,97431609.58,95594342.32,93718173.69,95581375.19666667,92960443.666,0.4602887522162646,2498425.651999989,3988219.911963872,0.0429023330212714
Cocoa beans,Oleaginosas y frutos secos,2024,5233245.33,5233245.33,11009545.0,475.3,5123485.83,5622905.92,5771232.95,5505874.899999999,5544289.772,2.1422817129173266,-85402.1620000005,252386.0759631214,0.0455218046570603
Sunflower seed,Oleaginosas y frutos secos,2024,52216783.45,52216783.45,28728506.0,1817.6,58277251.53,53274287.73,57473718.92,56341752.72666667,55089756.074,-10.399371831871973,701273.5959999922,3406892.901400675,0.0618425846145392
Maté leaves,Estimulantes y especias,2024,1997335.0,1997335.0,358673.0,5568.7,1669961.0,1659258.0,1481330.43,1603516.4766666666,1553920.2859999998,19.603691343690063,55481.4999999998,101201.24357854364,0.0651264060906555
"Other fruits, n.e.c.",Frutas,2024,39218330.28,39218330.28,5054959.0,7758.4,38022718.02,37941821.5,36633454.56,37532664.693333335,36781793.45600001,3.144468155514568,766171.9979999963,1251624.9605684371,0.0340283831473765
Canary seed,Cereales,2024,296051.96,296051.96,264917.0,1117.5,198981.39,246206.28,223611.36,222933.01000000004,247688.464,48.78374304250261,-19147.272000000023,40064.48381903776,0.1617535317229702
"Other oil seeds, n.e.c.",Oleaginosas y frutos secos,2024,2423144.95,2423144.95,2674696.0,906.0,2401173.89,2294675.7,2280747.56,2325532.3833333333,2322228.244,0.9150132812746792,7094.243999999935,70341.833223104,0.0302906630323044
"Ginger, raw",Estimulantes y especias,2024,4887376.46,4887376.46,437652.0,11167.3,4788904.67,5090031.02,4811607.06,4896847.583333333,4620157.586,2.0562486995590934,213071.50399999943,400830.8188019511,0.0867569582510667
"Bambara beans, dry",Legumbres,2024,238007.07,238007.07,343842.0,692.2,256348.96,273795.4,232118.61,254087.65666666665,253311.43,-7.155047557048788,4328.375999999959,17541.542900594613,0.0692489198003999
Avocados,Frutas,2024,11226085.72,11226085.72,1004582.0,11174.9,10672979.81,9581224.51,8838169.27,9697457.863333331,8931007.328,5.182300724318534,806805.7130000002,1282533.766749109,0.1436046035622633
Tomatoes,Hortalizas,2024,188498383.94,188498383.94,5120872.0,36809.8,185476454.21,181277702.51,186256521.45,184336892.72333333,183860918.728,1.629279437582154,324819.1819999891,2028651.9069112104,0.0110336221582377
"Walnuts, in shell",Oleaginosas y frutos secos,2024,4349163.36,4349163.36,1399757.0,3107.1,4257140.11,4002276.27,3812524.44,4023980.273333333,3848205.312,2.1616213613415702,192646.48199999964,310146.36942617706,0.0805950681630827
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Estimulantes y especias,2024,2672330.3,2672330.3,2564863.0,1041.9,2250152.1,1941852.81,2414901.64,2202302.1833333336,2170024.114,18.76220723034676,25528.51099999972,215909.62143010515,0.0994964157481731
Vetches,Legumbres,2024,654724.39,654724.39,339463.0,1928.7,672663.75,645934.59,619627.77,646075.37,669676.706,-2.666913446725794,-12016.606000000076,37460.35136160004,0.0559379638353436
Mixed grain,Cereales,2024,1623490.1,1623490.1,516369.0,3144.1,1772711.65,2221575.69,3313487.15,2435924.83,2756238.434,-8.41770008111583,-412645.4150000005,723297.3519645169,0.2624219091651041
Rape or colza seed,Oleaginosas y frutos secos,2024,87850643.33,87850643.33,42863229.0,2049.6,91613064.63,89103806.86,73931035.13,84882635.54,80257201.034,-4.106861084928648,5391376.223999996,9330910.308708835,0.1162625931192879
"Pumpkins, squash and gourds",Hortalizas,2024,34584404.71,34584404.71,2247919.0,15385.1,32983572.89,31877244.56,31793551.38,32218122.94333333,31571633.144,4.853421505725786,667590.860999995,1098757.5957731437,0.0348020512832405
Mushrooms and truffles,Hortalizas,2024,51595327.3,51595327.3,,,49821478.67,48014568.43,44190975.66,47342340.92,45342873.534,3.5604094405734976,2125122.779999996,3438520.3635855517,0.0758337550223234
"Chick peas, dry",Legumbres,2024,16880268.44,16880268.44,14123241.0,1195.2,16050290.51,17819508.56,15991786.28,16620528.449999996,15955042.376000002,5.171108457400764,571110.1399999984,1260418.1515333506,0.0789981074214697
